"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
5: "DE00000000000000000000";"06.11.20";"06.11.20";"KARTENZAHLUNG";"2020-11-04T07:30";"";"";"11111111111111111111111111";"";"";"";"LIDL SAGT DANKE. 33333333/Musterhausen/DE";"DE44444444444444444444";"CCCCCCCCCCC";"-35,00";"EUR";"Umsatz gebucht"
6: "DE00000000000000000000";"07.11.20";"07.11.20";"KARTENZAHLUNG";"2020-11-05T07:30";"";"";"11111111111111111111111111";"";"";"";"LIDL SAGT DANKE. 33333333/Musterhausen/DE";"DE44444444444444444444";"CCCCCCCCCCC";"-45,00";"EUR";"Umsatz gebucht"
7: "DE00000000000000000000";"08.11.20";"08.11.20";"KARTENZAHLUNG";"2020-11-06T07:30";"";"";"11111111111111111111111111";"";"";"";"NETTO SAGT DANKE. 44444444/Musterhausen/DE";"DE44444444444444444444";"DDDDDDDDDDD";"-15,00";"EUR";"Umsatz gebucht"
8: "DE00000000000000000000";"09.11.20";"09.11.20";"KARTENZAHLUNG";"2020-11-07T07:30";"";"";"11111111111111111111111111";"";"";"";"NETTO SAGT DANKE. 44444444/Musterhausen/DE";"DE44444444444444444444";"DDDDDDDDDDD";"-25,00";"EUR";"Umsatz gebucht"
2: "DE26150505001102615486";"03.12.20";"03.12.20";"LOHN";"Lohn 11/2020";"";"";"000000000/000000";"";"";"";"Unternehmen DEF";"DE55555555555555555555";"EEEEEEEEEEE";"5200,00";"EUR";"Umsatz gebucht"
3: "DE00000000000000000000";"04.12.20";"04.12.20";"KARTENZAHLUNG";"2020-12-02T07:30";"";"";"11111111111111111111111111";"";"";"";"KAUFLAND SAGT DANKE. 55555555/Musterhausen/DE";"DE44444444444444444444";"FFFFFFFFF";"-20,00";"EUR";"Umsatz gebucht"
4: "DE00000000000000000000";"05.12.20";"05.12.20";"KARTENZAHLUNG";"2020-12-03T07:30";"";"";"11111111111111111111111111";"";"";"";"KAUFLAND SAGT DANKE. 55555555/Musterhausen/DE";"DE44444444444444444444";"FFFFFFFFF";"-30,00";"EUR";"Umsatz gebucht"
5: "DE00000000000000000000";"06.12.20";"06.12.20";"KARTENZAHLUNG";"2020-12-04T07:30";"";"";"11111111111111111111111111";"";"";"";"KAUFLAND SAGT DANKE. 55555555/Musterhausen/DE";"DE44444444444444444444";"FFFFFFFFF";"-40,00";"EUR";"Umsatz gebucht"
6: "DE00000000000000000000";"07.12.20";"07.12.20";"KARTENZAHLUNG";"2020-12-05T07:30";"";"";"11111111111111111111111111";"";"";"";"KAUFLAND SAGT DANKE. 55555555/Musterhausen/DE";"DE44444444444444444444";"FFFFFFFFF";"-50,00";"EUR";"Umsatz gebucht"
7: "DE00000000000000000000";"08.12.20";"08.12.20";"KARTENZAHLUNG";"2020-12-06T07:30";"";"";"11111111111111111111111111";"";"";"";"PENNY SAGT DANKE. 66666666/Musterhausen/DE";"DE44444444444444444444";"GGGGGGGGGG";"-20,00";"EUR";"Umsatz gebucht"
8: "DE00000000000000000000";"09.12.20";"09.12.20";"KARTENZAHLUNG";"2020-12-07T07:30";"";"";"11111111111111111111111111";"";"";"";"PENNY SAGT DANKE. 66666666/Musterhausen/DE";"DE44444444444444444444";"GGGGGGGGGG";"-30,00";"EUR";"Umsatz gebucht"
